周,场景,周活跃用户数 (WAU)
2024-35,400收房,0.0
2024-36,400收房,0.0
2024-37,400收房,0.0
2024-38,400收房,0.0
2024-39,400收房,0.0
2024-40,400收房,0.0
2024-41,400收房,0.0
2024-42,400收房,0.0
2024-43,400收房,0.0
2024-44,400收房,0.0
2024-45,400收房,0.0
2024-46,400收房,0.0
2024-47,400收房,0.0
2024-48,400收房,0.0
2024-49,400收房,0.0
2024-50,400收房,0.0
2024-51,400收房,0.0
2024-52,400收房,0.0
2025-00,400收房,0.0
2025-01,400收房,0.0
2025-02,400收房,0.0
2025-03,400收房,0.0
2025-05,400收房,0.0
2025-06,400收房,0.0
2025-07,400收房,0.0
2025-08,400收房,0.0
2025-09,400收房,0.0
2025-10,400收房,0.0
2025-11,400收房,32.0
2025-12,400收房,81.0
2025-13,400收房,35.0
2025-14,400收房,63.0
2025-15,400收房,45.0
2025-16,400收房,33.0
2025-17,400收房,12.0
2025-18,400收房,78.0
2025-19,400收房,114.0
2024-35,400跟进,0.0
2024-36,400跟进,0.0
2024-37,400跟进,0.0
2024-38,400跟进,0.0
2024-39,400跟进,0.0
2024-40,400跟进,0.0
2024-41,400跟进,0.0
2024-42,400跟进,0.0
2024-43,400跟进,0.0
2024-44,400跟进,0.0
2024-45,400跟进,0.0
2024-46,400跟进,2.0
2024-47,400跟进,0.0
2024-48,400跟进,2.0
2024-49,400跟进,0.0
2024-50,400跟进,0.0
2024-51,400跟进,0.0
2024-52,400跟进,0.0
2025-00,400跟进,136.0
2025-01,400跟进,2.0
2025-02,400跟进,74.0
2025-03,400跟进,31.0
2025-05,400跟进,2.0
2025-06,400跟进,3.0
2025-07,400跟进,50.0
2025-08,400跟进,15.0
2025-09,400跟进,88.0
2025-10,400跟进,158.0
2025-11,400跟进,196.0
2025-12,400跟进,267.0
2025-13,400跟进,47.0
2025-14,400跟进,61.0
2025-15,400跟进,109.0
2025-16,400跟进,78.0
2025-17,400跟进,57.0
2025-18,400跟进,232.0
2025-19,400跟进,86.0
2024-35,卫浴,0.0
2024-36,卫浴,1.0
2024-37,卫浴,0.0
2024-38,卫浴,0.0
2024-39,卫浴,0.0
2024-40,卫浴,0.0
2024-41,卫浴,0.0
2024-42,卫浴,0.0
2024-43,卫浴,0.0
2024-44,卫浴,0.0
2024-45,卫浴,0.0
2024-46,卫浴,1.0
2024-47,卫浴,0.0
2024-48,卫浴,0.0
2024-49,卫浴,0.0
2024-50,卫浴,0.0
2024-51,卫浴,0.0
2024-52,卫浴,0.0
2025-00,卫浴,0.0
2025-01,卫浴,0.0
2025-02,卫浴,0.0
2025-03,卫浴,0.0
2025-05,卫浴,0.0
2025-06,卫浴,0.0
2025-07,卫浴,0.0
2025-08,卫浴,0.0
2025-09,卫浴,0.0
2025-10,卫浴,0.0
2025-11,卫浴,0.0
2025-12,卫浴,0.0
2025-13,卫浴,0.0
2025-14,卫浴,0.0
2025-15,卫浴,0.0
2025-16,卫浴,0.0
2025-17,卫浴,0.0
2025-18,卫浴,0.0
2025-19,卫浴,0.0
2024-35,地板,5.0
2024-36,地板,5.0
2024-37,地板,1.0
2024-38,地板,3.0
2024-39,地板,0.0
2024-40,地板,1.0
2024-41,地板,0.0
2024-42,地板,1.0
2024-43,地板,1.0
2024-44,地板,0.0
2024-45,地板,0.0
2024-46,地板,0.0
2024-47,地板,0.0
2024-48,地板,1.0
2024-49,地板,0.0
2024-50,地板,0.0
2024-51,地板,0.0
2024-52,地板,0.0
2025-00,地板,0.0
2025-01,地板,1.0
2025-02,地板,0.0
2025-03,地板,0.0
2025-05,地板,0.0
2025-06,地板,0.0
2025-07,地板,0.0
2025-08,地板,0.0
2025-09,地板,0.0
2025-10,地板,0.0
2025-11,地板,0.0
2025-12,地板,0.0
2025-13,地板,0.0
2025-14,地板,0.0
2025-15,地板,0.0
2025-16,地板,0.0
2025-17,地板,0.0
2025-18,地板,0.0
2025-19,地板,0.0
2024-35,木门,1.0
2024-36,木门,2.0
2024-37,木门,0.0
2024-38,木门,0.0
2024-39,木门,0.0
2024-40,木门,0.0
2024-41,木门,0.0
2024-42,木门,0.0
2024-43,木门,0.0
2024-44,木门,0.0
2024-45,木门,0.0
2024-46,木门,0.0
2024-47,木门,0.0
2024-48,木门,0.0
2024-49,木门,0.0
2024-50,木门,0.0
