YearMonth,challenge_id,挑战名称,实际业务场景,MAU
2024-09,1,工作繁忙的林小姐,整装,587
2024-09,2,做不了主的张女士,整装,421
2024-09,3,要方案的王先生,整装,405
2024-09,4,想要报价的陈女士,整装,322
2024-09,6,要效果图的刘先生,整装,298
2024-09,5,强势的李女士,整装,287
2024-09,9,Unknown,整装,14
2024-09,11,Unknown,整装,7
2024-09,13,Unknown,整装,4
2024-09,7,Unknown,整装,3
2024-09,15,Unknown,整装,3
2024-09,8,Unknown,整装,1
2024-10,1,工作繁忙的林小姐,整装,109
2024-10,3,要方案的王先生,整装,60
2024-10,2,做不了主的张女士,整装,49
2024-10,6,要效果图的刘先生,整装,44
2024-10,4,想要报价的陈女士,整装,36
2024-10,5,强势的李女士,整装,33
2024-10,9,Unknown,整装,4
2024-10,7,Unknown,整装,1
2024-10,11,Unknown,整装,1
2024-10,13,Unknown,整装,1
2024-11,1,工作繁忙的林小姐,整装,155
2024-11,2,做不了主的张女士,整装,90
2024-11,4,想要报价的陈女士,整装,77
2024-11,3,要方案的王先生,整装,65
2024-11,5,强势的李女士,整装,50
2024-11,6,要效果图的刘先生,整装,43
2024-11,37,对全包公司失望的杜先生,整装,16
2024-11,41,在乎优惠活动的丁先生,整装,15
2024-11,38,二次进店的俞先生,整装,13
2024-11,40,首次服务失望的李阿姨,整装,11
2024-11,39,看好装修公司的王女士,整装,8
2024-11,32,兼顾上学和居住品质的王先生,经纪,5
2024-11,33,看中交通便利的上班族刘小姐,经纪,4
2024-11,34,预期偏高的张女士,经纪、职能、娱乐,3
2024-11,9,Unknown,整装,2
2024-11,30,不自住不急售的周女士,经纪、职能、娱乐,2
2024-11,7,Unknown,整装,1
2024-11,15,Unknown,整装,1
2024-11,35,希望快速成交的李先生,经纪、职能、娱乐,1
2024-11,36,置换养老的李女士,经纪、职能、娱乐,1
2024-11,8,Unknown,整装,0
2024-11,13,Unknown,整装,0
2024-12,1,工作繁忙的林小姐,整装,78
2024-12,2,做不了主的张女士,整装,56
2024-12,37,对全包公司失望的杜先生,整装,52
2024-12,4,想要报价的陈女士,整装,49
2024-12,39,看好装修公司的王女士,整装,42
2024-12,5,强势的李女士,整装,40
2024-12,3,要方案的王先生,整装,38
2024-12,41,在乎优惠活动的丁先生,整装,36
