周,场景,周对话总时长 (分钟),累积对话总时长 (分钟)
2024-35,400收房,0.0,0.0
2024-36,400收房,0.0,0.0
2024-37,400收房,0.0,0.0
2024-38,400收房,0.0,0.0
2024-39,400收房,0.0,0.0
2024-40,400收房,0.0,0.0
2024-41,400收房,0.0,0.0
2024-42,400收房,0.0,0.0
2024-43,400收房,0.0,0.0
2024-44,400收房,0.0,0.0
2024-45,400收房,0.0,0.0
2024-46,400收房,0.0,0.0
2024-47,400收房,0.0,0.0
2024-48,400收房,0.0,0.0
2024-49,400收房,0.0,0.0
2024-50,400收房,0.0,0.0
2024-51,400收房,0.0,0.0
2024-52,400收房,0.0,0.0
2025-00,400收房,0.0,0.0
2025-01,400收房,0.0,0.0
2025-02,400收房,0.0,0.0
2025-03,400收房,0.0,0.0
2025-05,400收房,0.0,0.0
2025-06,400收房,0.0,0.0
2025-07,400收房,0.0,0.0
2025-08,400收房,0.0,0.0
2025-09,400收房,0.0,0.0
2025-10,400收房,0.0,0.0
2025-11,400收房,305.5,305.5
2025-12,400收房,532.7333333333333,838.2333333333333
2025-13,400收房,224.20000000000002,1062.4333333333334
2025-14,400收房,621.4,1683.8333333333335
2025-15,400收房,679.25,2363.0833333333335
2025-16,400收房,742.8333333333334,3105.916666666667
2025-17,400收房,492.55,3598.466666666667
2025-18,400收房,1647.15,5245.616666666667
2025-19,400收房,2911.483333333333,8157.1
2025-20,400收房,4922.516666666666,13079.616666666667
2025-21,400收房,4940.233333333334,18019.85
2024-35,400跟进,0.0,0.0
2024-36,400跟进,0.0,0.0
2024-37,400跟进,0.0,0.0
2024-38,400跟进,0.0,0.0
2024-39,400跟进,0.0,0.0
2024-40,400跟进,0.0,0.0
2024-41,400跟进,0.0,0.0
2024-42,400跟进,0.0,0.0
2024-43,400跟进,0.0,0.0
2024-44,400跟进,0.0,0.0
2024-45,400跟进,0.0,0.0
2024-46,400跟进,14.833333333333334,14.833333333333334
2024-47,400跟进,0.0,14.833333333333334
2024-48,400跟进,17.71666666666667,32.550000000000004
2024-49,400跟进,0.0,32.550000000000004
2024-50,400跟进,0.0,32.550000000000004
2024-51,400跟进,0.0,32.550000000000004
2024-52,400跟进,0.0,32.550000000000004
2025-00,400跟进,6914.2,6946.75
2025-01,400跟进,21.733333333333334,6968.483333333334
2025-02,400跟进,669.8,7638.283333333334
2025-03,400跟进,253.3,7891.583333333334
2025-05,400跟进,9.033333333333333,7900.616666666668
2025-06,400跟进,95.53333333333333,7996.1500000000015
2025-07,400跟进,471.8333333333333,8467.983333333335
2025-08,400跟进,87.60000000000001,8555.583333333336
2025-09,400跟进,993.5833333333334,9549.16666666667
2025-10,400跟进,1470.6166666666666,11019.783333333336
2025-11,400跟进,1793.4166666666667,12813.200000000003
2025-12,400跟进,2112.016666666667,14925.216666666669
2025-13,400跟进,410.5,15335.716666666669
2025-14,400跟进,457.96666666666664,15793.683333333336
2025-15,400跟进,987.7666666666667,16781.450000000004
2025-16,400跟进,717.7,17499.150000000005
2025-17,400跟进,993.8,18492.950000000004
2025-18,400跟进,2866.883333333333,21359.833333333336
2025-19,400跟进,2325.1666666666665,23685.000000000004
2025-20,400跟进,2272.3,25957.300000000003
2025-21,400跟进,1435.4833333333333,27392.783333333336
2024-35,卫浴,0.0,0.0
2024-36,卫浴,1.7166666666666666,1.7166666666666666
2024-37,卫浴,0.0,1.7166666666666666
2024-38,卫浴,0.0,1.7166666666666666
2024-39,卫浴,0.0,1.7166666666666666
